Patient/Cell,IFNg-50ng - 15min,IFNg-50ng+IL6-50ng - 15min,IL10-50ng - 15min,IL2-50ng - 15min,IL4-50ng - 15min,IL6-50ng - 15min,TGFB-50ng - 15min,Untreated - 15min,Untreated - 15 min
Patient 26 - CD16 NK,0.026589421968611242,9.07980140683268e-05,0.8547936859482205,0.054817982737443136,0.04584215080288326,0.08511112986227685,0.15028017852338105,0.0,0
Patient 28 - CD16 NK,0.03412316593789967,7.75089825955735e-05,0.6896896787791037,0.02892732676283544,0.06273983216500117,0.07395568219992932,0.008779378277339137,0.0,0
Patient 30 - CD16 NK,0.14233414147054255,9.959658871305176e-05,0.9305488100395549,0.06673949531627545,0.07412805009568448,0.12044868994455604,0.05495048468554929,0.0,0
Patient 34 - CD16 NK,0.1240757730900004,0.00010216213824429224,0.9272104371464812,-0.05100343628201492,-0.07066353629588394,0.03762198919398637,-0.0016932909461153584,0.0,0
Patient 35 - CD16 NK,-0.07634032241136336,-0.06168244104986731,0.931386720373608,-0.08212749611491572,-0.0905573867572629,-0.09855132241569821,-0.08122328520124715,0.0,0
Patient 43 - CD16 NK,0.0332528169485747,-0.02901920050929527,1.0,0.016956153248925753,0.004737290357493782,-0.01797036569124903,-0.002507962707673266,0.0,0
Patient 44 - CD16 NK,-0.0985430676471758,-0.1819410356860499,0.6960143384329173,-0.1432835075346031,-0.17170152653501378,-0.11574512586071459,-0.18177389349029568,0.0,0
Patient 45 - CD16 NK,0.1341003729643295,0.01884776792152471,0.894645869855192,-0.01612828830292514,-0.08589281883480931,0.05994772313277471,0.020086937034510463,0.0,0
Patient 52 - CD16 NK,-0.04175450585018413,-0.057748664142107616,0.8445777483032327,-0.11547151910571485,-0.09721110785897537,-0.06478452871734919,-0.07937578404823264,0.0,0
Patient 52A - CD16 NK,0.043290995892251515,9.422861181678513e-05,0.882066283799202,0.03751780747891345,-0.017383580102716435,0.0023691418471384583,0.023460829065362284,0.0,0
Patient 54 - CD16 NK,0.09007616723221903,0.07483933331595984,1.0,-0.0251182126062228,-0.022060166922287697,0.03419351963962947,-0.03370780613227226,0.0,0
Patient 56 - CD16 NK,-0.03538170575941755,-0.13091988707112542,0.6613716102216065,-0.16077746812957192,-0.0886957186021296,-0.06857933426526597,-0.1715508380440359,0.0,0
Patient 58 - CD16 NK,0.03173235367630311,0.017504918441769,1.0,0.04871769271531064,0.0314984663632454,0.06680136294823227,0.025437911750861318,0.0,0
Patient 60 - CD16 NK,0.0003722559791844444,7.583222840911065e-05,0.6367571021481869,-0.02703650617036703,-0.03599985609778631,-0.015100480503719524,-0.07338426247568067,0.0,0
Patient 61 - CD16 NK,0.056625223494688945,0.00010282257256373519,0.8340180116479041,-0.021326214541286973,-0.026417249893464667,-0.007895843518235725,-0.007715940883706301,0.0,0
Patient 62 - CD16 NK,0.03982799989569476,9.772132330881635e-05,0.8362593035825213,-0.026916772281246133,0.004461152911778151,-0.0004561067043734905,-0.06249466531102055,0.0,0
Patient 63 - CD16 NK,0.027874512292578757,-0.03857402422297885,0.5979157804317113,0.003278577160593142,0.06681727436457795,0.023664504647384108,-0.04985944484998589,0.0,0
Patient 66 - CD16 NK,0.19420438970765366,0.07248851187337961,0.7345661414042755,0.05525560502719752,0.07434210091687563,0.12318667264370972,0.1101130948430281,0.0,0
Patient 68 - CD16 NK,-0.05367075493695252,6.477136115884893e-05,0.5564283663453091,-0.08754810137087506,-0.10449894990494285,-0.04795560681293492,-0.12309321143295457,0.0,0
Patient 69 - CD16 NK,0.056696886514771436,7.047289273465095e-05,0.46502583792374574,-0.019552917540362535,-0.02023006306514785,0.019682039934967942,0.03193318370819516,0.0,0
Patient 70 - CD16 NK,0.16872024198481458,0.15477830133754483,0.8888229881853721,0.04584423310876798,0.10085579801206124,0.14604317116571716,0.0754642942130737,0.0,0
Patient 79 - CD16 NK,-0.1045229043322404,-0.14326929648014672,0.5817861850152153,-0.16822550914255394,-0.13222242393349576,-0.1351103504773839,-0.13769131032618193,0.0,0
Patient 19186-2 - CD16 NK,0.017912338674738727,0.00013733063992559612,1.0,0.03568895489377241,0.03655596692219355,0.07064393786567708,-0.052586001651944506,0.0,0
Patient 19186-3 - CD16 NK,0.024436325343840336,0.00010439344891226164,1.0,-0.10269177204009251,-0.0007681809387207511,-0.011714541458707985,-0.029432459390678647,0.0,0
Patient 19186-4 - CD16 NK,0.04526083166996426,0.0923284343734109,0.3663004271205922,0.05445771402167085,0.08010894032670486,0.07330824351926356,3.4896546785457187e-06,0.0,0
Patient 19186-8 - CD16 NK,0.08266593933331964,0.03836195344160019,0.4118963438293613,0.0755696518099205,-0.045009040351229844,0.03508693742966723,1.4348750839688451e-06,0.0,0
Patient 19186-10-T1 - CD16 NK,-0.09186223575278081,0.00010740215076226125,0.9285253608415434,-0.13472878749123343,-0.14710882760375552,0.007544097528822939,7.555254252194257e-06,0.0,0
Patient 19186-10-T2 - CD16 NK,0.033377160385308885,0.00010095322611552197,0.914819660055381,0.014342427595611074,0.0730932652326087,0.04891996528089241,6.411135457538424e-06,0.0,0
Patient 19186-10-T3 - CD16 NK,0.10361703891663988,0.00010866552709215649,0.9840456877568533,0.04671988315475984,0.06570330486936284,0.0727586591999123,1.1071960655006935e-05,0.0,0
Patient 19186-15-T1 - CD16 NK,-0.011075952125521845,8.046516236641972e-05,0.3905175392113088,-0.003104852254202969,0.006413646821621178,-0.048306660519899514,6.47017250444508e-06,0.0,0
Patient 19186-15-T2 - CD16 NK,0.06561664037059246,6.54342422992129e-05,0.4913288638553315,0.019795312304248556,0.028659131208018808,0.03799347766702744,9.564858415433484e-06,0.0,0
Patient 19186-15-T3 - CD16 NK,-0.06188833171858626,6.274469014604844e-05,0.36572140078003984,0.0059619413883373286,-0.03915664990332753,-0.015590660466365328,7.092922813741727e-06,0.0,0
Patient 19186-14 - CD16 NK,0.07573361664094744,7.06564307446283e-05,0.7737675621951182,-0.007765258708637907,-0.018921490231776555,-0.009780026964640616,0.0561833264766027,0.0,0
Patient 21368-3 - CD16 NK,0.013694492617819338,9.975417343401092e-05,1.0,-0.056971140897008034,-0.04310585384123806,0.051733897814047344,-0.0374616597640465,0.0,0
Patient 21368-4 - CD16 NK,0.05845103020639271,0.00010662711629331872,1.0,-0.031622180732166744,-0.0027727281447036925,-0.011947311997071369,-0.02702500305222966,0.0,0
Patient 406 - CD16 NK,0.042804485839860636,0.04753649355884911,0.22446640986593014,0.036714620632673785,0.06440356350291289,0.03942835901838739,3.3084180526639233e-06,0.0,0
Patient 26 - CD20 B,-0.0008990642649763439,9.316780603137397e-05,0.7583582033588594,0.07784232268012793,0.10737788421878701,0.09066086708666805,0.10927894270812061,0.0,0
Patient 28 - CD20 B,0.053107352803375446,8.222203549453732e-05,0.8634558604623758,0.021146004173313915,0.09540908335503247,0.07701140547557692,0.008879105423156288,0.0,0
Patient 30 - CD20 B,0.06495213403804968,9.804474116146534e-05,0.8958407218627398,0.024893395114424836,0.14516129296798252,0.06447518706365131,0.018863213025228746,0.0,0
Patient 34 - CD20 B,0.06320003593317908,0.00010912272590977652,0.8066572005242344,-0.013273492086051067,0.09080213548681805,0.050082501498806886,-0.012236675860774798,0.0,0
Patient 35 - CD20 B,-0.042455124587887166,0.003273705925824232,0.7534598936454335,-0.048720972234062555,0.006259080923034619,0.006590193325349784,-0.0493500242300041,0.0,0
Patient 43 - CD20 B,0.07061749236193439,0.011403757100182118,1.0,0.020227717702233285,0.1954854449823159,0.0047043317178288675,0.004649115559475571,0.0,0
Patient 44 - CD20 B,-0.049050897807687496,-0.09314105240297169,0.7506944054379812,-0.12824695029919253,-0.03640053300715069,-0.12049617576767561,-0.13631360482604915,0.0,0
Patient 45 - CD20 B,-0.0797896908322739,-0.07124211436760984,0.4103010058213607,-0.1726223486953383,-0.0668060342822801,-0.11974905009845536,-0.16191640262956253,0.0,0
Patient 52 - CD20 B,-0.15622817949423817,-0.12241260370437669,0.8715907089715317,-0.2698870191378716,-0.17736453400682115,-0.029211864680212873,-0.14530141992151005,0.0,0
Patient 52A - CD20 B,0.11978442323874194,7.363286111570381e-05,0.6873734851611599,0.04397342118324467,0.07973331811201839,0.06748218479519465,0.018019882985492508,0.0,0
Patient 54 - CD20 B,-0.018856314519368467,-0.01825210505840789,0.963320707036311,-0.009988654006127837,0.15601724019429425,-0.021162140478399507,-0.052026321228004144,0.0,0
Patient 56 - CD20 B,-0.0244631484715492,-0.1351717012586385,0.7663078853768419,-0.13252765893081228,0.03559214526350121,-0.07653445559946648,-0.17401634801977228,0.0,0
Patient 58 - CD20 B,0.056802708009955905,0.045816256594988905,0.893464433764011,-0.0012124338362194923,0.2193968241590985,0.040494171415518546,0.016693962162390198,0.0,0
Patient 60 - CD20 B,-0.012950085464358744,9.905122708085818e-05,0.903086804898524,-0.049832261030604605,0.018219480688019634,-0.006638743305120188,-0.09836916070666936,0.0,0
Patient 61 - CD20 B,0.051551269618481624,9.546919645926196e-05,0.8779343757695519,-0.007594204945036967,0.05914975480732627,0.04439189811380796,-0.005900557948774991,0.0,0
Patient 62 - CD20 B,0.031905202200428286,9.7432626445511e-05,0.8020571149566016,-0.03996975274900775,0.06181825038616734,-0.017516866532825068,-0.06366352918922388,0.0,0
Patient 63 - CD20 B,0.029923530910519712,-0.02066423512554568,0.60184970270378,0.01597716868339705,0.1467896955313948,0.04454950288563521,-0.04253228320818604,0.0,0
Patient 66 - CD20 B,0.1670163774737439,0.0963923416875481,0.8366618633625614,0.053220594015293346,0.17273019075370508,0.10973673551438469,0.12223283245106452,0.0,0
Patient 68 - CD20 B,-0.029703784630991686,9.268401534487753e-05,0.8343912120499423,-0.055163707572989884,0.004622714567975885,-0.006525205428453413,-0.08180689769918058,0.0,0
Patient 69 - CD20 B,0.15584055160540697,7.735842620508425e-05,0.7186833081827416,-0.022328562769191602,0.050853142145671604,0.17284462896483738,0.1651217308935339,0.0,0
Patient 70 - CD20 B,0.13334536585808607,0.10350062438881878,1.0,0.0728787235922677,0.1961947444689759,0.09667352127178983,0.04033382343770115,0.0,0
Patient 79 - CD20 B,0.15937449678831656,0.11328815419907615,0.695513555328488,-0.028107443471699117,-0.06676025449961169,0.06089619885377878,-0.003088379108511921,0.0,0
Patient 19186-2 - CD20 B,-0.005256964624683098,0.00010197383611514978,0.7437496088058585,-0.03738462243427453,0.014201556415766408,0.012396860835044569,-0.09591251044074063,0.0,0
Patient 19186-3 - CD20 B,0.025977813417140415,9.917698727027892e-05,0.9331715897420726,-0.04983810686236056,-0.008002312977000289,0.01121701461845832,-0.09577304990803233,0.0,0
Patient 19186-4 - CD20 B,0.029752779655016496,0.0665939057975762,0.30550728159291174,0.019819373765737152,0.1157039569151322,0.038594557995045485,2.864579796971837e-06,0.0,0
Patient 19186-8 - CD20 B,0.06189847967301851,0.052549658867348,0.19910646283003977,0.0665933911939129,0.06001067045868459,0.0645548806268,1.0406223029178564e-06,0.0,0
Patient 19186-10-T1 - CD20 B,-0.024019090607856654,5.185908937234332e-05,0.46310142413861355,-0.02739696467275545,0.05247113398711887,0.015312993526878616,5.068552101721035e-06,0.0,0
Patient 19186-10-T2 - CD20 B,0.005616370519778255,4.842108340123417e-05,0.4730435998916536,0.006849188362638272,0.13606760326773276,0.020280215171703923,5.005876160972636e-06,0.0,0
Patient 19186-10-T3 - CD20 B,-0.021142994700958682,6.319449502049498e-05,0.5169070593356866,0.03494811293534972,0.07563320355314225,0.0353315321121739,7.072742484672018e-06,0.0,0
Patient 19186-15-T1 - CD20 B,-0.014287894634434774,4.8082507025056e-05,0.3366244574845371,-0.004838740369525202,0.07110302024116794,-0.006017552713096361,4.551111084522317e-06,0.0,0
Patient 19186-15-T2 - CD20 B,0.08065508681888758,6.234829934030942e-05,0.43531164601138633,0.023631278608058668,0.07300149045624008,0.2949093794047442,1.0892763141509131e-05,0.0,0
